Fuel Type Code,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,NH,,1,1,42.772666,-71.222512
ELEC,NH,,1,,43.257348,-70.900583
ELEC,NH,,1,1,42.87865,-72.23336
ELEC,NH,,1,,43.450949,-71.573167
ELEC,NY,,1,,42.676971,-73.787334
ELEC,NY,,2,,42.979725,-78.797346
ELEC,NY,,1,,42.966894,-76.535879
ELEC,NY,,1,,40.758245,-73.776954
ELEC,NY,,1,,41.071072,-73.950866
ELEC,NY,,1,,40.589167,-73.960707
ELEC,NY,,1,,43.147147,-76.114274
ELEC,NY,,1,,43.100001,-77.481422
ELEC,NY,,1,,40.622268,-73.742699
ELEC,NY,,1,,43.025044,-74.358103
ELEC,NY,,1,1,40.71693,-73.630152
ELEC,NY,,1,1,42.16262,-76.86773
